time_slot,band,transmission
0,0,0
0,1,1
0,2,0
0,3,1
0,4,1
0,5,0
0,6,0
0,7,1
0,8,0
0,9,0
0,10,0
0,11,0
0,12,1
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,1
0,22,0
0,23,0
0,24,0
0,25,0
0,26,1
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,1
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
1,0,0
1,1,1
1,2,1
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,1
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,1
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,1
1,40,0
1,41,0
1,42,0
1,43,1
1,44,1
1,45,0
1,46,1
1,47,0
1,48,0
1,49,1
2,0,0
2,1,0
2,2,0
2,3,0
2,4,1
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,1
2,11,0
2,12,1
2,13,0
2,14,0
2,15,1
2,16,0
2,17,0
2,18,0
2,19,0
2,20,1
2,21,0
2,22,1
2,23,1
2,24,0
2,25,0
2,26,1
2,27,0
2,28,1
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,1
2,38,1
2,39,0
2,40,0
2,41,1
2,42,0
2,43,0
2,44,0
2,45,0
2,46,0
2,47,1
2,48,0
2,49,0
3,0,1
3,1,0
3,2,0
3,3,1
3,4,1
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,1
3,18,1
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,1
3,26,0
3,27,0
3,28,0
3,29,0
3,30,1
3,31,1
3,32,0
3,33,1
3,34,0
